Datetime,Status,Health,Level,Scale,Plugged,Voltage,Temperature
2017-10-11 23:59:56,Charging,Good,61,100,AC,4253,32.7
2017-10-11 23:59:50,Charging,Good,61,100,AC,4255,32.7
2017-10-11 23:59:44,Charging,Good,61,100,AC,4288,32.7
2017-10-11 23:59:38,Charging,Good,61,100,AC,4283,32.7
2017-10-11 23:59:32,Charging,Good,60,100,AC,4282,32.7
2017-10-11 23:59:26,Charging,Good,60,100,AC,4280,32.7
2017-10-11 23:59:20,Charging,Good,60,100,AC,4279,32.7
2017-10-11 23:59:08,Charging,Good,60,100,AC,4274,32.7
2017-10-11 23:59:02,Charging,Good,59,100,AC,4272,32.7
2017-10-11 23:58:55,Charging,Good,59,100,AC,4273,32.7
2017-10-11 23:58:49,Charging,Good,59,100,AC,4265,32.7
2017-10-11 23:58:43,Charging,Good,59,100,AC,4270,32.7
2017-10-11 23:58:37,Charging,Good,59,100,AC,4269,32.6
2017-10-11 23:58:31,Charging,Good,58,100,AC,4265,32.6
2017-10-11 23:58:25,Charging,Good,58,100,AC,4264,32.6
2017-10-11 23:58:19,Charging,Good,58,100,AC,4263,32.6
2017-10-11 23:58:13,Charging,Good,58,100,AC,4261,32.6
2017-10-11 23:58:07,Charging,Good,58,100,AC,4259,32.6
2017-10-11 23:58:01,Charging,Good,57,100,AC,4258,32.5
2017-10-11 23:57:55,Charging,Good,57,100,AC,4259,32.5
2017-10-11 23:57:43,Charging,Good,57,100,AC,4255,32.5
2017-10-11 23:57:37,Charging,Good,57,100,AC,4256,32.5
2017-10-11 23:57:31,Charging,Good,57,100,AC,4254,32.5
2017-10-11 23:57:25,Charging,Good,56,100,AC,4251,32.5
2017-10-11 23:57:13,Charging,Good,56,100,AC,4250,32.5
2017-10-11 23:57:07,Charging,Good,56,100,AC,4248,32.5
2017-10-11 23:57:01,Charging,Good,56,100,AC,4247,32.5
2017-10-11 23:56:55,Charging,Good,55,100,AC,4247,32.5
2017-10-11 23:56:49,Charging,Good,55,100,AC,4244,32.5
2017-10-11 23:56:43,Charging,Good,55,100,AC,4245,32.4
2017-10-11 23:56:37,Charging,Good,55,100,AC,4244,32.4
2017-10-11 23:56:30,Charging,Good,55,100,AC,4242,32.4
2017-10-11 23:56:24,Charging,Good,54,100,AC,4242,32.4
2017-10-11 23:56:18,Charging,Good,54,100,AC,4236,32.4
2017-10-11 23:56:06,Charging,Good,54,100,AC,4234,32.3
2017-10-11 23:56:00,Charging,Good,54,100,AC,4231,32.3
2017-10-11 23:55:54,Charging,Good,53,100,AC,4230,32.3
2017-10-11 23:55:48,Charging,Good,53,100,AC,4218,32.3
2017-10-11 23:55:42,Charging,Good,53,100,AC,4233,32.3
2017-10-11 23:55:36,Charging,Good,53,100,AC,4222,32.3
2017-10-11 23:55:30,Charging,Good,53,100,AC,4228,32.3
2017-10-11 23:55:24,Charging,Good,52,100,AC,4227,32.3
2017-10-11 23:55:18,Charging,Good,52,100,AC,4226,32.2
2017-10-11 23:55:12,Charging,Good,52,100,AC,4225,32.2
2017-10-11 23:55:06,Charging,Good,52,100,AC,4224,32.2
2017-10-11 23:55:00,Charging,Good,52,100,AC,4218,32.2
2017-10-11 23:54:54,Charging,Good,51,100,AC,4221,32.2
2017-10-11 23:54:48,Charging,Good,51,100,AC,4218,32.2
2017-10-11 23:54:36,Charging,Good,51,100,AC,4216,32.2
2017-10-11 23:54:30,Charging,Good,51,100,AC,4215,32.1
2017-10-11 23:54:18,Charging,Good,50,100,AC,4214,32.1
2017-10-11 23:54:12,Charging,Good,50,100,AC,4212,32.1
2017-10-11 23:54:06,Charging,Good,50,100,AC,4212,32.0
2017-10-11 23:53:59,Charging,Good,50,100,AC,4208,32.0
2017-10-11 23:53:53,Charging,Good,49,100,AC,4200,32.0
2017-10-11 23:53:47,Charging,Good,49,100,AC,4210,32.0
2017-10-11 23:53:41,Charging,Good,49,100,AC,4202,32.0
2017-10-11 23:53:35,Charging,Good,49,100,AC,4203,32.0
2017-10-11 23:53:29,Charging,Good,49,100,AC,4204,32.0
2017-10-11 23:53:23,Charging,Good,48,100,AC,4204,31.9
2017-10-11 23:53:17,Charging,Good,48,100,AC,4203,31.9
2017-10-11 23:53:11,Charging,Good,48,100,AC,4205,31.9
2017-10-11 23:53:05,Charging,Good,48,100,AC,4199,31.9
2017-10-11 23:52:59,Charging,Good,48,100,AC,4200,31.9
2017-10-11 23:52:53,Charging,Good,47,100,AC,4200,31.8
2017-10-11 23:52:41,Charging,Good,47,100,AC,4192,31.8
2017-10-11 23:52:35,Charging,Good,47,100,AC,4193,31.8
2017-10-11 23:52:29,Charging,Good,47,100,AC,4197,31.8
2017-10-11 23:52:23,Charging,Good,46,100,AC,4195,31.7
2017-10-11 23:52:17,Charging,Good,46,100,AC,4191,31.8
2017-10-11 23:52:05,Charging,Good,46,100,AC,4190,31.7
2017-10-11 23:51:59,Charging,Good,46,100,AC,4189,31.7
2017-10-11 23:51:53,Charging,Good,45,100,AC,4188,31.7
2017-10-11 23:51:47,Charging,Good,45,100,AC,4181,31.7
2017-10-11 23:51:34,Charging,Good,45,100,AC,4186,31.6
2017-10-11 23:51:28,Charging,Good,45,100,AC,4184,31.6
2017-10-11 23:51:22,Charging,Good,44,100,AC,4181,31.6
2017-10-11 23:51:16,Charging,Good,44,100,AC,4180,31.5
2017-10-11 23:51:10,Charging,Good,44,100,AC,4179,31.5
2017-10-11 23:51:04,Charging,Good,44,100,AC,4178,31.5
2017-10-11 23:50:58,Charging,Good,44,100,AC,4178,31.4
2017-10-11 23:50:52,Charging,Good,44,100,AC,4177,31.4
2017-10-11 23:50:46,Charging,Good,43,100,AC,4147,31.4
2017-10-11 23:50:40,Charging,Good,43,100,AC,4176,31.4
2017-10-11 23:50:34,Charging,Good,43,100,AC,4176,31.3
2017-10-11 23:50:28,Charging,Good,43,100,AC,4171,31.3
2017-10-11 23:50:22,Charging,Good,43,100,AC,4168,31.3
2017-10-11 23:50:16,Charging,Good,42,100,AC,4167,31.3
2017-10-11 23:50:10,Charging,Good,42,100,AC,4170,31.3
2017-10-11 23:50:04,Charging,Good,42,100,AC,4169,31.3
2017-10-11 23:49:52,Charging,Good,42,100,AC,4168,31.2
2017-10-11 23:49:46,Charging,Good,41,100,AC,4167,31.1
2017-10-11 23:49:40,Charging,Good,41,100,AC,4166,31.1
2017-10-11 23:49:34,Charging,Good,41,100,AC,4154,31.1
2017-10-11 23:49:28,Charging,Good,41,100,AC,4165,31.1
2017-10-11 23:49:22,Charging,Good,41,100,AC,4163,31.1
2017-10-11 23:49:16,Charging,Good,40,100,AC,4162,31.0
2017-10-11 23:49:09,Charging,Good,40,100,AC,4163,31.0
2017-10-11 23:49:03,Charging,Good,40,100,AC,4162,31.0
2017-10-11 23:48:57,Charging,Good,40,100,AC,4158,31.0
2017-10-11 23:48:51,Charging,Good,40,100,AC,4161,30.9
2017-10-11 23:48:45,Charging,Good,39,100,AC,4157,30.9
2017-10-11 23:48:39,Charging,Good,39,100,AC,4156,30.9
2017-10-11 23:48:33,Charging,Good,39,100,AC,4156,30.8
2017-10-11 23:48:21,Charging,Good,39,100,AC,4154,30.8
2017-10-11 23:48:15,Charging,Good,38,100,AC,4149,30.8
2017-10-11 23:48:09,Charging,Good,38,100,AC,4153,30.7
2017-10-11 23:48:03,Charging,Good,38,100,AC,4146,30.7
2017-10-11 23:47:57,Charging,Good,38,100,AC,4150,30.7
2017-10-11 23:47:51,Charging,Good,38,100,AC,4148,30.6
2017-10-11 23:47:33,Charging,Good,37,100,AC,4147,30.6
2017-10-11 23:47:21,Charging,Good,37,100,AC,4146,30.5
2017-10-11 23:47:15,Charging,Good,36,100,AC,4143,30.5
2017-10-11 23:47:09,Charging,Good,36,100,AC,4144,30.4
2017-10-11 23:47:03,Charging,Good,36,100,AC,4145,30.4
